,Player,NewPos,MP,Gls,Ast,G+A,xG,xAG,Age,CrdY,CrdR,PrgC,PrgP,PrgR,FantasyPoints,PlayerCost
386,Mark Travers,GK,4,0,0,0,0.0,0.0,24,0,0,0,0,0,0.044444444444444446,6.0
387,Joe Rothwell,MF,11,0,0,0,0.1,0.2,28,0,0,6,20,3,15.022222222222222,10.2
388,Enes Ünal,FW,16,2,2,4,2.9,1.0,26,1,0,4,7,28,41.477777777777774,15.4
389,David Brooks,FW,13,1,1,2,2.2,1.0,26,1,0,8,21,27,40.544444444444444,14.7
390,Ionuț Radu,GK,2,0,0,0,0.0,0.0,26,0,0,0,0,0,0.022222222222222223,6.0
391,Jaidon Anthony,FW,3,0,0,0,0.1,0.0,23,1,0,2,8,9,8.733333333333334,12.1
392,Tyler Adams,MF,3,0,0,0,0.0,0.1,24,0,0,4,5,1,5.133333333333333,10.05
393,James Hill,DF,5,0,0,0,0.0,0.0,21,0,0,0,5,1,3.0555555555555554,8.0
394,Kieffer Moore,FW,8,1,0,1,1.5,0.2,30,0,0,2,4,15,18.788888888888888,13.6
395,Hamed Junior Traorè,MF,3,0,0,0,0.2,0.0,23,0,0,2,3,4,4.933333333333334,10.2
396,Romain Faivre,MF,5,0,0,0,0.2,0.0,25,1,0,4,5,4,5.955555555555556,10.2
397,Dominic Sadi,FW,1,0,0,0,0.0,0.0,19,0,0,0,0,0,0.011111111111111112,12.0
398,Max Kilman,DF,38,2,0,2,1.8,1.4,26,7,0,22,117,5,80.42222222222222,10.5
399,Nélson Semedo,DF,36,0,1,1,1.3,1.7,29,10,1,103,138,150,190.2,10.15
400,José Sá,GK,35,0,1,1,0.0,0.0,30,1,0,0,1,0,2.888888888888889,6.0
401,Mario Lemina,MF,35,4,1,5,4.6,1.5,29,12,1,32,76,49,97.58888888888889,15.35
402,João Gomes,MF,34,2,1,3,1.7,1.1,22,11,0,28,101,44,93.37777777777778,12.25
403,Toti Gomes,DF,35,1,3,4,1.6,1.2,24,7,0,22,79,11,67.78888888888889,10.2
404,Matheus Cunha,FW,32,12,7,19,9.5,3.2,24,9,0,107,87,139,261.05555555555554,23.1
405,Rayan Aït-Nouri,DF,33,2,1,3,3.3,2.4,22,7,0,67,99,99,147.86666666666667,12.5
406,Craig Dawson,DF,25,1,1,2,1.5,1.4,33,7,0,1,49,4,32.37777777777778,10.2
407,Hwang Hee-chan,FW,29,12,3,15,7.7,3.0,27,6,0,37,37,120,178.72222222222223,21.2
408,Pablo Sarabia,MF,30,4,7,11,5.5,5.9,31,5,0,41,109,137,196.63333333333333,18.45
409,Pedro Neto,FW,20,2,9,11,3.5,4.4,23,4,0,98,54,149,195.1222222222222,17.7
410,Tommy Doyle,MF,26,0,0,0,0.4,0.4,21,2,0,21,81,17,58.98888888888889,10.6
411,Jean-Ricner Bellegarde,MF,22,2,1,3,1.6,1.0,25,0,1,30,39,49,73.44444444444444,12.1
412,Matt Doherty,DF,30,1,0,1,0.8,1.3,31,2,0,12,31,64,59.63333333333333,9.450000000000001
413,Santiago Bueno,DF,12,0,0,0,0.0,0.1,24,1,0,3,11,2,7.233333333333333,8.05
414,Boubacar Traoré,MF,24,0,0,0,0.3,0.4,21,4,0,9,29,15,23.766666666666666,10.5
415,Hugo Bueno,DF,22,0,0,0,0.3,0.8,20,1,0,22,8,40,35.644444444444446,8.700000000000001
416,Daniel Bentley,GK,5,0,0,0,0.0,0.0,30,0,0,0,0,0,0.05555555555555555,6.0
417,Fábio Silva,FW,8,0,0,0,1.0,0.2,21,2,0,5,10,13,14.28888888888889,13.1
418,Matheus Nunes,MF,2,0,0,0,0.1,0.1,24,2,1,7,8,9,7.322222222222222,10.15
419,Leon Chiwome,FW,3,0,0,0,0.1,0.0,17,0,0,1,2,7,5.233333333333333,12.1
420,Nathan Fraser,FW,7,0,0,0,0.3,0.1,18,1,0,1,2,21,11.777777777777779,12.350000000000001
421,Sasa Kalajdzic,FW,11,2,0,2,1.1,1.0,26,0,0,1,5,9,20.822222222222223,13.6
422,Tawanda Chirewa,MF,8,0,0,0,0.2,0.0,19,1,0,1,7,8,7.488888888888889,10.2
423,Jonny Castro,MF,1,0,0,0,0.0,0.0,29,0,0,0,0,0,0.011111111111111112,10.0
424,Enso Gonzalez,MF,1,0,0,0,0.0,0.0,18,0,0,0,0,2,1.011111111111111,10.0
425,Mark Flekken,GK,37,0,1,1,0.0,0.5,30,3,0,0,5,0,3.411111111111111,6.25
426,Vitaly Janelt,MF,38,1,3,4,1.8,4.8,25,8,0,25,123,81,129.32222222222222,14.200000000000001
427,Christian Nørgaard,MF,31,2,1,3,3.5,1.9,29,8,0,15,161,42,123.24444444444444,14.45
428,Nathan Collins,DF,32,1,1,2,1.7,2.2,22,3,0,11,97,18,73.95555555555555,10.799999999999999
429,Yoane Wissa,FW,34,12,3,15,10.6,3.9,26,7,0,45,48,150,208.9777777777778,24.55
430,Ethan Pinnock,DF,29,2,0,2,2.0,1.0,30,1,0,11,61,16,58.32222222222222,10.5
431,Mathias Jensen,MF,32,3,3,6,0.7,4.0,27,5,0,19,123,66,128.75555555555556,12.7
432,Mads Roerslev,DF,34,1,2,3,0.9,1.8,24,1,0,18,43,90,89.47777777777779,9.8
433,Bryan Mbeumo,FW,25,9,6,15,9.8,4.6,23,2,0,74,88,195,263.97777777777776,24.1
434,Kristoffer Ajer,DF,28,2,1,3,1.3,2.3,25,5,0,22,61,31,70.21111111111111,10.450000000000001
435,Ivan Toney,FW,17,4,2,6,6.0,1.5,27,5,0,23,40,98,115.1888888888889,18.75
436,Keane Lewis-Potter,FW,30,3,1,4,6.3,1.7,22,0,0,56,32,135,144.13333333333333,19.150000000000002
437,Ben Mee,DF,16,2,0,2,1.5,0.3,33,1,1,11,49,9,43.67777777777778,9.65
438,Sergio Reguilón,DF,16,0,4,4,0.8,2.8,26,4,1,34,38,40,65.57777777777778,10.200000000000001
439,Neal Maupay,FW,29,6,3,9,5.7,2.3,26,8,0,21,37,91,119.52222222222221,18.849999999999998
440,Mathias Jørgensen,DF,14,1,0,1,0.7,0.9,33,4,0,5,50,4,32.65555555555556,9.149999999999999
441,Frank Onyeka,MF,26,1,2,3,2.2,1.8,25,8,0,17,33,39,53.98888888888889,13.1
442,Aaron Hickey,DF,9,0,0,0,0.2,0.1,21,5,0,9,21,13,17.1,8.25
443,Mikkel Damsgaard,MF,23,0,2,2,0.9,1.4,23,2,0,16,61,32,61.955555555555556,11.6
444,Saman Ghoddos,DF,19,1,0,1,0.3,1.1,29,5,0,22,36,31,46.41111111111111,8.850000000000001
445,Yehor Yarmoliuk,MF,27,0,0,0,1.0,0.1,19,2,0,13,35,36,42.4,11.05
446,Rico Henry,DF,5,0,1,1,0.1,1.0,26,1,0,13,20,12,25.755555555555556,8.6
447,Kevin Schade,FW,11,2,1,3,1.2,0.7,21,0,0,8,9,23,36.22222222222223,13.549999999999999
448,Shandon Baptiste,MF,10,1,1,2,0.9,0.2,25,1,0,3,5,1,13.61111111111111,11.0
449,Thomas Strakosha,GK,2,0,0,0,0.0,0.0,28,0,0,0,0,0,0.022222222222222223,6.0
450,Michael Olakigbe,DF,8,0,0,0,0.1,0.0,19,0,0,10,4,17,15.788888888888888,8.1
451,Josh Dasilva,DF,3,0,0,0,0.0,0.2,24,0,0,2,2,5,4.733333333333333,8.1
452,Myles Peart-Harris,DF,3,0,0,0,0.0,0.0,20,0,0,2,1,1,2.033333333333333,8.0
453,Morgan Gibbs-White,MF,37,5,10,15,6.9,8.4,23,9,0,80,170,181,284.1111111111111,21.099999999999998
454,Murillo,DF,32,0,2,2,1.8,1.2,21,5,0,22,89,7,65.15555555555555,10.4
455,Anthony Elanga,FW,36,5,9,14,6.6,6.7,21,1,0,98,49,196,242.8,21.950000000000003
456,Ryan Yates,MF,35,1,1,2,2.6,0.8,25,6,0,18,73,37,72.38888888888889,13.0
457,Callum Hudson-Odoi,FW,29,8,1,9,2.7,2.8,22,0,0,111,58,171,221.5222222222222,16.099999999999998
458,Chris Wood,FW,31,14,1,15,11.9,2.1,31,0,0,16,30,76,160.14444444444445,24.95
459,Danilo,MF,29,2,2,4,1.8,1.5,22,4,0,22,83,28,83.92222222222222,12.55
460,Ola Aina,DF,22,1,1,2,0.3,0.9,26,3,0,53,68,38,86.24444444444444,8.75
461,Orel Mangala,MF,20,1,0,1,0.8,0.2,25,6,0,13,45,14,37.022222222222226,10.9
462,Nicolás Domínguez,MF,26,2,2,4,1.3,1.0,25,4,0,14,91,43,89.88888888888889,11.8
463,Neco Williams,DF,26,0,1,1,0.8,1.6,22,4,0,48,47,86,92.98888888888888,9.600000000000001
464,Willy Boly,DF,20,2,1,3,1.5,1.3,32,3,1,4,32,3,30.822222222222223,10.15
465,Matt Turner,GK,17,0,0,0,0.0,0.0,29,2,0,0,0,0,-1.8111111111111111,6.0
466,Matz Sels,GK,16,0,0,0,0.0,0.1,31,1,0,0,0,0,-0.8222222222222222,6.05
467,Moussa Niakhate,DF,21,1,0,1,1.1,0.1,27,5,1,13,39,6,28.53333333333333,9.15
468,Harry Toffolo,DF,23,1,3,4,1.6,1.5,27,3,0,10,42,34,58.955555555555556,10.35
469,Ibrahim Sangaré,MF,17,0,0,0,0.6,0.4,25,6,0,5,44,7,23.788888888888888,10.799999999999999
470,Taiwo Awoniyi,FW,20,6,3,9,4.7,1.7,25,2,0,8,14,45,81.82222222222222,17.55
471,Serge Aurier,DF,12,0,2,2,0.2,0.5,30,2,0,10,47,29,48.03333333333333,8.45
